2018/08/19 10:22:55 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: Loading user properties from: E:\BlibliPhase3\Performance Testing And Engineering\apache-jmeter-2.12\bin\user.properties 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: Loading system properties from: E:\BlibliPhase3\Performance Testing And Engineering\apache-jmeter-2.12\bin\system.properties 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: Copyright (c) 1998-2014 The Apache Software Foundation 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: Version 2.12 r1636949 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: java.version=1.8.0_77 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) Client VM 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: os.name=Windows 8.1 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: os.arch=x86 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: os.version=6.3 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: JMeterHome=E:\BlibliPhase3\Performance Testing And Engineering\apache-jmeter-2.12 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: user.dir  =E:\BlibliPhase3\Performance Testing And Engineering\apache-jmeter-2.12\bin 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: PWD       =E:\BlibliPhase3\Performance Testing And Engineering\apache-jmeter-2.12\bin 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: IP: 10.10.10.99 Name: Firedaus03 FullName: Firedaus03 
2018/08/19 10:22:57 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2018/08/19 10:23:01 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2018/08/19 10:23:01 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2018/08/19 10:23:02 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2018/08/19 10:23:03 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2018/08/19 10:23:04 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2018/08/19 10:23:04 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2018/08/19 10:23:04 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2018/08/19 10:23:04 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2018/08/19 10:23:04 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2018/08/19 10:23:04 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2018/08/19 10:23:04 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.control.gui.WebServiceSamplerGui 
2018/08/19 10:23:04 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2018/08/19 10:23:05 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'C:\Program Files (x86)\Java\jre1.8.0_77\bin\keytool' 
2018/08/19 10:23:05 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file E:\BlibliPhase3\Performance Testing And Engineering\apache-jmeter-2.12\bin\proxyserver.jks 
2018/08/19 10:23:09 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2018/08/19 10:23:09 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2018/08/19 10:23:09 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2018/08/19 10:23:09 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2018/08/19 10:42:56 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2018/08/19 10:42:56 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2018/08/19 10:42:56 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.7 
2018/08/19 10:42:56 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1618048 
2018/08/19 10:42:56 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2018/08/19 10:43:08 INFO  - jmeter.services.FileServer: Default base='E:\BlibliPhase3\Performance Testing And Engineering\apache-jmeter-2.12\bin' 
2018/08/19 10:43:08 INFO  - jmeter.services.FileServer: Set new base='E:\BlibliPhase3\Performance Testing And Engineering\apache-jmeter-2.12\hasil' 
2018/08/19 10:43:08 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2018/08/19 10:43:08 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2018/08/19 10:43:08 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2018/08/19 10:43:08 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2018/08/19 10:43:08 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2018/08/19 10:43:08 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2018/08/19 10:43:08 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Register 
2018/08/19 10:43:08 INFO  - jmeter.engine.StandardJMeterEngine: Starting 50 threads for group Register. 
2018/08/19 10:43:08 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2018/08/19 10:43:08 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 50 ramp-up 5 perThread 100.0 delayedStart=false 
2018/08/19 10:43:08 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2018/08/19 10:43:08 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2018/08/19 10:43:08 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-1 
2018/08/19 10:43:08 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2018/08/19 10:43:08 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2018/08/19 10:43:08 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-2 
2018/08/19 10:43:08 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = Firedaus03 
2018/08/19 10:43:08 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2018/08/19 10:43:08 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
2018/08/19 10:43:08 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-3 
2018/08/19 10:43:08 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2018/08/19 10:43:08 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2018/08/19 10:43:08 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-4 
2018/08/19 10:43:08 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-5 
2018/08/19 10:43:08 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-6 
2018/08/19 10:43:08 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-7 
2018/08/19 10:43:09 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-8 
2018/08/19 10:43:09 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-9 
2018/08/19 10:43:09 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-10 
2018/08/19 10:43:09 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-11 
2018/08/19 10:43:09 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-12 
2018/08/19 10:43:09 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-13 
2018/08/19 10:43:09 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-14 
2018/08/19 10:43:09 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-15 
2018/08/19 10:43:09 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-16 
2018/08/19 10:43:09 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-17 
2018/08/19 10:43:10 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-18 
2018/08/19 10:43:10 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-19 
2018/08/19 10:43:10 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-20 
2018/08/19 10:43:10 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-21 
2018/08/19 10:43:10 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-22 
2018/08/19 10:43:10 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-23 
2018/08/19 10:43:10 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-24 
2018/08/19 10:43:10 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-25 
2018/08/19 10:43:10 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-26 
2018/08/19 10:43:10 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-27 
2018/08/19 10:43:11 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-28 
2018/08/19 10:43:11 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-29 
2018/08/19 10:43:11 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-30 
2018/08/19 10:43:11 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-31 
2018/08/19 10:43:11 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-32 
2018/08/19 10:43:11 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-33 
2018/08/19 10:43:11 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-34 
2018/08/19 10:43:11 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-35 
2018/08/19 10:43:11 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-36 
2018/08/19 10:43:11 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-37 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread is done: Register 1-2 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Register 1-2 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread is done: Register 1-21 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Register 1-21 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread is done: Register 1-15 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Register 1-15 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread is done: Register 1-11 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Register 1-11 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread is done: Register 1-16 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Register 1-16 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread started: Register 1-38 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread is done: Register 1-29 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Register 1-29 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread is done: Register 1-17 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Register 1-17 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread is done: Register 1-20 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Register 1-20 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread is done: Register 1-25 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Register 1-25 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread is done: Register 1-27 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Register 1-27 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread is done: Register 1-22 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Register 1-22 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread is done: Register 1-8 
2018/08/19 10:43:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Register 1-8 
